311004	16172	1353
319801	16215	1404
317802	16327	1339
315193	16135	1381
317673	16086	1375
318959	16169	1316
318156	16254	1402
317381	16298	1438
316891	16188	1375
324833	16461	1385
324779	16398	1347
316792	16197	1373
315138	16086	1396
308115	15749	1311
310506	16012	1324
310506	16012	1324
315745	16151	1391
316493	15900	1287
317374	16148	1353
323294	16365	1399
312520	16131	1308
315467	16126	1380
311115	15923	1390
312280	16025	1277
316433	16265	1344
313375	15877	1253
315642	16214	1372
315592	16191	1393
315730	16052	1381
312387	16205	1299
