22815	1665
22729	1684
22778	1642
22974	1597
22966	1641
22765	1668
22793	1703
22851	1647
22669	1714
23073	1596
22939	1731
22864	1735
22849	1687
22959	1779
22941	1645
23061	1613
22820	1626
22715	1614
22902	1715
22842	1623
23076	1682
22772	1696
22817	1685
22764	1803
23022	1573
22903	1661
23011	1640
22834	1714
22866	1716
22758	1688
22839	1705
22638	1710
22822	1590
22782	1695
22632	1638
22965	1747
23094	1636
22745	1653
22827	1709
22865	1634
22722	1701
22701	1725
22822	1637
22840	1596
22980	1663
22951	1627
22979	1649
22914	1638
23059	1713
22912	1613
22904	1675
22659	1617
22772	1687
22887	1653
22836	1629
22731	1793
22654	1676
22882	1644
22729	1679
22862	1690
22928	1682
22830	1704
22604	1652
22821	1738
22765	1635
22748	1685
22822	1666
22961	1650
22667	1667
22891	1678
22989	1688
23040	1602
22910	1733
22899	1707
22880	1677
22896	1687
22913	1607
22795	1724
22884	1668
22732	1651
22927	1721
22843	1682
22881	1686
22990	1675
22794	1709
22840	1776
22926	1800
22837	1603
22905	1646
23028	1637
22758	1630
22885	1771
22766	1677
22800	1657
22707	1743
22876	1684
22803	1682
22918	1696
22864	1624
22793	1649
23090	1688
23019	1699
23075	1706
22734	1574
22814	1709
22781	1781
22858	1614
22646	1626
22954	1641
22930	1560
22664	1603
23004	1643
22840	1763
22895	1602
22768	1614
22813	1643
22750	1676
22746	1663
22649	1647
22821	1571
22803	1732
22744	1742
22919	1580
22823	1647
22655	1580
22905	1702
23003	1627
22816	1760
22937	1631
22704	1709
22716	1704
22892	1626
22930	1588
22978	1745
22986	1568
22741	1700
22833	1680
22786	1656
22948	1622
22979	1593
22777	1614
22787	1676
23010	1641
22762	1737
22925	1610
22715	1676
22941	1641
22763	1696
22834	1679
22522	1686
22818	1596
23060	1640
22701	1641
22833	1652
23031	1655
22923	1664
22825	1651
22691	1594
23055	1595
22896	1614
22854	1725
22894	1685
22740	1608
22708	1629
22895	1776
23005	1747
22983	1670
22897	1625
22932	1700
22918	1591
22928	1708
23079	1624
22907	1713
22989	1581
22850	1575
22973	1588
23017	1701
22902	1596
22883	1643
22787	1536
22829	1747
22851	1615
23016	1697
22855	1725
23033	1609
22659	1672
22844	1622
22751	1621
22766	1718
22869	1694
22707	1734
22756	1713
22797	1573
22839	1596
22747	1738
22993	1671
22636	1718
22803	1635
22933	1639
22799	1744
22748	1619
22666	1636
22818	1580
22901	1791
22886	1675
22991	1585
22937	1620
23074	1714
22957	1668
22732	1634
22995	1624
22875	1605
22822	1709
23045	1616
23081	1738
22704	1615
22704	1729
22967	1595
22987	1760
22765	1716
23019	1680
22826	1648
23026	1652
22889	1701
22764	1718
22823	1672
22856	1677
22905	1629
22930	1679
22916	1668
22800	1743
22823	1758
22644	1716
22927	1756
22861	1711
23141	1676
22824	1688
22955	1682
22608	1682
22724	1622
22767	1614
22834	1642
22862	1681
22766	1617
22967	1657
22810	1712
22925	1617
22847	1617
22981	1620
22843	1571
22813	1629
22933	1673
22982	1652
22844	1714
22746	1663
22902	1684
22760	1663
22903	1700
22827	1671
22942	1589
22979	1623
22747	1743
22812	1634
22787	1674
22914	1703
22747	1588
22922	1647
22937	1582
22842	1768
22844	1613
22765	1603
22860	1618
22952	1678
22824	1659
22863	1677
22908	1685
22909	1599
22929	1770
22792	1687
22842	1663
22768	1690
22931	1534
22921	1677
22973	1592
22898	1557
22848	1603
22993	1672
22820	1592
22847	1693
22694	1557
22904	1723
23060	1695
22815	1588
22887	1635
22734	1728
22914	1606
22762	1638
22872	1746
22787	1662
22839	1634
